job title,job link
"Financial Analyst Intern, Insights Planning Automation and Simplifcation (IPAT)",https://in.linkedin.com/jobs/view/financial-analyst-intern-insights-planning-automation-and-simplifcation-ipat-at-amazon-3046895852?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=4WUUMTCdvX9JqZHs06aJfQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3040317342?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=VkuUOFcd6hiKi7MtLf6Avg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3039356371?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=UQT5UgBKgrdTwMfYDsm64Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3039354544?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=0thvbvUWuwHh%2Fh1ePaXl0Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Channel Relationship Manager,https://in.linkedin.com/jobs/view/channel-relationship-manager-at-amazon-3041349055?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=IKtsfCeaPwX08xzoaeKlnA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3039356436?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=iYvI%2FnxzUu8QvEJYfwNVuw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3040313777?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=jR6eAiD9w26LS474lLsbMw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3039354616?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=zD0TjVzkM%2FBXhweclf8nlQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3040317337?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=feWQeyPEnP7fe1QPcnxEag%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Sr Associate - Account Manager,https://in.linkedin.com/jobs/view/sr-associate-account-manager-at-amazon-3057229262?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=D2VYKGt2iNE4R8s3uJkiXQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3039358140?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=0SaionIVVaojp6sUK8OlXA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3040314453?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=xFyGP2%2FQb5MKBNzsXiWU%2BA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
"Creative Coordinator, Amazon Studios, Studio Creative Content - Strategy and Operations",https://www.linkedin.com/jobs/view/creative-coordinator-amazon-studios-studio-creative-content-strategy-and-operations-at-amazon-3042404629?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=xEXVA2kmGsf5blmJjoZedw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
"Virtual Customer Service Associate - Chandigarh, India",https://in.linkedin.com/jobs/view/virtual-customer-service-associate-chandigarh-india-at-amazon-3056767637?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=8CP2UYvlNpGNh1ldJuJfVA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Reviewer,https://in.linkedin.com/jobs/view/content-reviewer-at-amazon-3039354551?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=LYJe4bAXIiv%2FdsdT8Xbt%2FQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
HR Contact Center Associate - Work From Home,https://in.linkedin.com/jobs/view/hr-contact-center-associate-work-from-home-at-amazon-3039357166?refId=%2Fe2BDPm4MhKvZpAvnb292A%3D%3D&trackingId=J%2BCPk%2F7dVjPG6rTcH3YBUQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
